className,method,score
cn.nc.issuance.book.dcm.batch.jobs.UnannouncedBondExpiredJob,cn.nc.issuance.book.dcm.batch.jobs.UnannouncedBondExpiredJob#execute,4
cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto,cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoQueryDto#setPayInDate,0
cn.nc.user.task.service.BusinessTaskQueryService,cn.nc.user.task.service.BusinessTaskQueryService#getLastTaskByBusinessKey,0
cn.nc.channel.mix.config.Knife4jConfig,cn.nc.channel.mix.config.Knife4jConfig#customOpenApi,1
cn.nc.channel.mix.service.IssuanceQueryService,cn.nc.channel.mix.service.IssuanceQueryService#queryPublishResult,0
cn.nc.channel.msg.service.impl.MessageStatusServiceImpl,cn.nc.channel.msg.service.impl.MessageStatusServiceImpl#getMessageStatusPoList,1
cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl,cn.nc.user.cfaeacct.service.impl.CfaeAccountHisServiceImpl#updateHisAcct,0
cn.nc.issuance.book.dcm.service.dto.RspHead,cn.nc.issuance.book.dcm.service.dto.RspHead#setServRespCd,0
cn.nc.issuance.book.dcm.query.service.PublishSolutionService,cn.nc.issuance.book.dcm.query.service.PublishSolutionService#getPreview,0
cn.nc.issuance.book.dcm.service.dto.nxMessage.SendNxMassageEntityDTO,cn.nc.issuance.book.dcm.service.dto.nxMessage.SendNxMassageEntityDTO#setPublishFlowNode,0
cn.nc.user.ukey.validator.UkeyExpressValidator,cn.nc.user.ukey.validator.UkeyExpressValidator#requireReceiverPhone,1
cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoResultDto,cn.nc.issuance.book.dcm.query.service.dto.querystatistics.PublishSuccBondInfoResultDto#getBiddingRate,1
cn.nc.user.staff.service.PositionPermissionService,cn.nc.user.staff.service.PositionPermissionService#add,0
cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController,cn.nc.issuance.book.dcm.query.facade.controller.hisinfoquery.PublishSolutionBatchDownLoadController#doService,1
cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController,cn.nc.pub.msg.facade.controller.parameterTemplate.ParameterTemplateDeleteController#doService,1
cn.nc.user.reguser.service.impl.UserIdentifyHisServiceImpl,cn.nc.user.reguser.service.impl.UserIdentifyHisServiceImpl#saveBatchUserIdentifyHis,5
cn.nc.issuance.bid.service.operation.BidSuppAdmiAddService,cn.nc.issuance.bid.service.operation.BidSuppAdmiAddService#cancelAdditionAdd,0
cn.nc.channel.backend.adapter.repository.po.ChanConcernBondPo,cn.nc.channel.backend.adapter.repository.po.ChanConcernBondPo#setBondId,0
cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController,cn.nc.issuance.book.dcm.query.facade.controller.bondAdd.BondBookManagerListController#doService,1
cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController,cn.nc.issuance.book.dcm.query.facade.controller.querystatistics.PublishSuccBondQueryController#publishSuccBondInfoQuery,1
cn.nc.user.cfaeacct.CfaeAccountService,cn.nc.user.cfaeacct.CfaeAccountService#operatorDepositAcctQueryList,0
cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl,cn.nc.issuance.book.dcm.query.service.impl.QueryCurrentDateBondStaticsServiceImpl#getData,1
cn.nc.pub.msg.converter.MsgSendRecordMapperImpl,cn.nc.pub.msg.converter.MsgSendRecordMapperImpl#poPageToDtoPage,4
cn.nc.channel.msg.client.dto.MessageTargetInfoDto,cn.nc.channel.msg.client.dto.MessageTargetInfoDto#getTargetOrgId,1
cn.nc.issuance.bid.facade.message.head.req.ReqHeader,cn.nc.issuance.bid.facade.message.head.req.ReqHeader#getStartSysOrCmptNo,1
cn.nc.pub.msg.service.impl.MsgBizSystemServiceImpl,cn.nc.pub.msg.service.impl.MsgBizSystemServiceImpl#getMail,1
cn.nc.issuance.bid.service.query.pricingplacing.RegFileService,cn.nc.issuance.bid.service.query.pricingplacing.RegFileService#previewRegFileOnLine,0
cn.nc.issuance.dist.service.impl.logic.BillLogic,cn.nc.issuance.dist.service.impl.logic.BillLogic#genBill,12
cn.nc.issuance.book.dcm.converter.AdConfigPoAdPositiionConverterImpl,cn.nc.issuance.book.dcm.converter.AdConfigPoAdPositiionConverterImpl#toPoList,5
cn.nc.common.transaction.support.impl.RequestMessageDto,cn.nc.common.transaction.support.impl.RequestMessageDto#getBusinessKey,1
cn.nc.user.ind.service.dto.UserIdentifyDto,cn.nc.user.ind.service.dto.UserIdentifyDto#setIdentifyBranch,0
cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto,cn.nc.pub.msg.service.dto.productInstance.BiddingCcdcProductInstanceDto#setPubAdustRateOption,0
